CODIGO_CUM	DESCRIPCION_MATERIAL
20007729-6	ESTRIOL
19950452-88	ENOXAPARINA SODICA (DE ORIGEN PORCINO)
20061996-1	DEXAMETASONA ACETATO EQUIVALENTE A DEXAMETASONA BASE
200541-15	METOPROLOL SUCCINATO EQUIVALENTE A METOPROLOL TARTRATO
215882-1	GEL DE HIDROXIDO DE ALUMINIO10 % EQUIVALENTE A HIDROXIDO DE ALUMINIO
34537-2	LOPERAMIDA CLORHIDRATO
1701115	FORMULA NUTRICIONAL COMPLETA Y BALANCEADA PEDIATRICA 850G (POLVO PARA SUSPENSION ORAL) - PEDIASURE
19932754-5	CLORURO DE SODIO
19976587-6	SALES DE REHIDRATACION POLVO PARA RECONSTITUIR A SOLUCION ORAL
20055000-1	DIENOGEST
19943590-2	LEVOMEPROMAZINA MALEATO 135.3 MG ( EQUIVALENTE A LEVOMEPROMAZINA BASE
20162350-7	BRIVARACETAM
19941784-7	VALSARTAN
19925329-4	ACETAMINOFEN
20056041-20	TELMISARTAN
215608-1	LAMOTRIGINA
20119257-3	DIVALPROATO SODICO 538.1 MG EQUIVALENTEAACIDOVALPROICO
1980885-5	OXCARBAZEPINA
19955370-18	ACIDO VALPROICO
225392-2	TOPIRAMATO
56106-3	CARBAMAZEPINA
19973358-5	ACETAZOLAMIDA
19932135-2	CLOTRIMAZOL
20059276-3	NEOMICINA SULFATO EQUIVALENTE A NEOMICINA BASE
20010636-1	ALGINATO DE SODIO PHU-152
20084200	LINOVERA FRASCO POR 30ML
19952603-1	MUPIROCINA
20029977-4	PROPILENGLICOL
19929516-4	ACETAMINOFEN
43442-1	HIDROXIDO DE ALUMINIO GEL AL 10% EQUIVALENTE A HIDROXIDO DE ALUMINIO
20073630-2	CLORHIDRATO DE CICLOBENZAPRINA
20027209-4	ACETATO DE ALUMINIO
20082896-4	DOLOFF®5-325 TABLETAS TABLETA RECUBIERTA ORAL
19936412-2	LEVETIRACETAM
210465-2	CEFALEXINA MONOHIDRATO EQUIVALENTE A CEFALEXINA BASE
19919306-1	DIFENHIDRAMINA CLORHIDRATO
37897-4	NUCLEO :VERAPAMILO CLORHIDRATO
20066117-23	ESOMEPRAZOL MAGNESICO TRIHIDRATO . EQUIVALENTE A ESOMEPRAZOL
20142975-1	AZELASTINA CLORHIDRATO
20075793-5	ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA
22606-5	AMOXICILINA TRIHIDRATADA 625 MG EQUIVALENTE A AMOXICILINA BASE
20006067-1	HIDROCORTISONA ACETATO
20075793-7	ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA
20056956-1	APIXABAN ELIQUIS® 5MG TABLETAS RECUBIERTAS TABLETA RECUBIERTA ORAL
20119434-2	TARTRATO DE BRIMONIDINA
230417-6	ALBENDAZOL USP MICRONIZADO
20050924-7	DEXLANSOPRAZOL (GRANULO LL 7.5MG DE DEXLANSOPRAZOL + GRANULO H 22.5MG DE DEXLANSOPRAZOL)
20003632	 SONDA SUCCION 8 FR UN
20091820-6	PREGABALINA
19913783-102	DIMENHIDRINATO
20043928-1	AMIODARONA CLORHIDRATO
19900484-6	LOSARTAN POTASICO
20043701-4	VALSARTAN
53560-5	ACETAMINOFENCOMPRESION DIRECTA AL 90% 555.56 MG. EQUIVALENTE A ACETAMINOFEN
227757-3	BETAHISTINADICLORURO
20206149-7	VILDAGLIPTINA 50 MG
19908244-5	CLONIXINATO DE LISINA 125G + CICLOBENZAPRINA CLORHIDRATO 5MG
20024307-14	DL-ALFATOCOFERIL ACETATO / VITAMINA E SINTETICA EQUIVALENTE A VITAMINA E 400 UI
20093160-3	PREGABALINA
20142726-1	IRBESARTAN (FORMA - A)
20091345-4	PILOCARPINA CLORHIDRATO
19931807	 JERINGA PARA INSULINA 1ML
45122-1	BOTOX® 100U POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE INTRADERMAL
20190690-3	SOLIFENACINA SUCCINATO
20071876-1	SULFATO FERROSO HEPTAHIDRATADO. EQUIVALENTE A 803.33 MG DE HIERRO ELEMENTAL
20003536-2	SERTRALINA CLORHIDRATO (EQUIVALENTE A SERTRALINA BASE)
20002094-1	VALSARTAN
20157290-6	METFORMINA CLORHIDRATO
20107054-7	VITAMINA D3 (1000000 UI/G) 1.0 MG EQUIVALENTES A VITAMINA D3
20071892	 PRESERVATIVOS LATEX
20084123-1	BECLOMETASONA DIPROPIONATO
20087855-3	SUCRALFATO 1G/5ML SUSPENSION ORAL 200ML
19987145-7	OLOPATADINA CLORHIDRATO 2.2200 MG ( EQUIVALENTE A OLOPATADINABASE)
20121389-1	DORZALAMINA CLORHIDRATO 22.25 MG. EQUIVALENTE A DORZALAMINA
20125491	 PAÑAL ADULTO TALLLA M (UNIDAD)
11697-2	ÁCIDO FUSÍDICO
44405-6	CEFALEXINA MONOHIDRATO COMPACTADA EQUIVALENTE A CEFALEXINA BASE ANHIDRA
20222454-1	ALOPURINOL
19976365-11	LEVOTIROXINA SODICA
20135121-2	ETORICOXIB
20176902-1	CROMOGLICATO DE SODIO
226859-10	LANSOPRAZOL PELLETS 8.5% EQUIVALENTES A 30 MG DE LANSOPRAZOL
19935124-5	BECLOMETASONA DIPROPIONATO
20037932-3	ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA BASE
20015903-14	FLUOXETINA CLORHIDRATO 22.360 MGEQUIVALENTE A FLUOXETINA BASE
20193789-1	FUROATO DE MOMETASONA
19953925-7	DICLOXACILINA SODICA MONOHIDRATO. EQUIVALENTE A DICLOXACILINA
20178268-1	UPADACITINIB HEMIHIDRATO EQUIVALENTE A UPADACITINIB
20012688-1	BECLOMETASONA DIPROPIONATO
20094550-2	CLORHIDRATO DE FEXOFENADINA
20245897	TIRAS GLUCOMETRIA
19947581-4	CLORHIDRATO DE OXIMETAZOLINA
20011384-5	CLOZAPINA
19943015-35	LEVOTIROXINA SÓDICA
51716-1	TRAMADOL CLORHIDRATO
20173007-1	ADALAPENO
20005748-7	CARVEDILOL
19936411-1	LEVETIRACETAM
230133-2	LAMOTRIGINA
19936459-7	EZETIMIBA (SCH 58235) MICRONIZADO
19982839-1	ACIDO ASCORBICO
20007896-22	LEVETIRACETAM 500MG TAB (CEUMID)
20052146-2	SULFATO DE ZINC HEPTAHIDRATO EQUIVALENTE A ZINC
20107900-2	LEVETIRACETAM
20162036-2	ACIDO TRANEXAMICO
20134807-3	VITAMINA D3 5.600UI/ML SOL ORL GTS FCOX10ML CX1
19977699-3	SIMETICONA
19930887-2	SULFADIAZINA DE PLATA
20084420-13	DESVENLAFAXINA SUCCINATO MONOHIDRATO EQUIVALENTE A DESVENLAFAXINA BASE EXCESO 2%
19948280-4	METOCARBAMOL
20094238-1	LEVOCETIRIZINA DICLORHIDRATO
139-TCM	PAÑAL DESECHABLE TENA SLIP CLASICO TALLA M
20023989-1	FUROTATO DE MOMETASONA
20015706-1	DESLORATADINA
20121065-1	RIVAROXABAN
20192258-2	AMOXICILINA TRIHIDRATOEQUIVALENTE A AMOXICILINA BASE
150131	ENSURE ADVANCE ALIMENTO LIQUIDO BOTELLA 220ML
20171579-2	CLORHIDRATO DE TAMSULOSINA
216131-2	TRAMADOL CLORHIDRATO
19944003-4	LOSARTÁN POTÁSICO
19998393-2	METFORMINA CLORHIDRATO
20028763-2	TIZANIDINA CLORHIDRATO EQUIVALENTE A TIZANIDINA BASE
227311-3	VENLAFAXINA CLORHIDRATO EQUIVALENTE A VENLAFAXINA BASE
19913783-29	DIMENHIDRINATO
19904162-2	DALTEPARINA SODICA (ANTI-FACTOR XA)
30051-5	FENITOINA SODICA
19935345-11	CAFEINA ANHIDRA
150305	FRESUBIN DRINK BOTELLA 200ML
19988267-21	AMLODIPINO BESILATO 13.8880 MGEQUIVALENTE A AMLODIPINO BASE
20028918-5	PREGABALINA
19975971-1	VALSARTAN
20129783-1	CLORTALIDONA
20032011-6	ÓXIDO DE ZINC
35462-3	ALSUCRAL® TABLETAS MASTICABLES SUCRALFATO 500 MG
20062371-1	PREGABALINA
19908244-19	CLONIXINATO DE LISINA
20021392-1	ACIDOFUSIDICO
20006150-7	BISACODILO
20073590-1	MACITENTAN
19934447-2	RISPERIDONA
20198689-1	AMOXICILINA TRIHIDRATO (574MG) EQUIVALENTE A AMOXICILINA BASE
20139041-2	LACOSAMIDA
19999216-1	MEDROXIPROGESTERONA ACETATO
20010390-1	FEVENY®TABLETAS RECUBIERTAS TABLETA CUBIERTA CON PELICULA ORAL
20003839-6	VALSARTAN
19928652-7	DIPIRONA
20101631-1	KETOCONAZOL
20079588	GUANTES DE LATEX
20133135	 PEDIASURE ALIMENTO LIQUIDO BOTELLA 237ML
19989500-8	CALCIO CITRATO 1500 MGCOMO CALCIO CITRATOTETRAHIDRATADO. (EQUIVALENTE ACALCIO ELEMENTAL)
20033850-2	CLORHIDRATO DE METFORMINA
20118862-1	ESTRADIOL (COMO ESTRADIOL HEMIHIDRATO)
20097539-2	HIDROCLOROTIAZIDA
20187323-4	LACOSAMIDA
20137227-1	COLECALCIFEROL
20208299-1	AMOXICLADELT® TABLETAS 625 MG
19936556-7	MONTELUKAST SODICO 5.19800 MGEQUIVALENTE A MONTELUKAST
19945455-2	BUDESONIDA MICRONIZADA
20121390-2	DIENOGEST
19932996-3	BUDESONIDA
19934159-4	DORZOLAMIDA HCL 22.6 MG EQUIVALENTE A DORZOLAMIDA
20104370-3	PROPIONATO DE FLUTICASONA (MICRONIZADA)
20113506	 PLUMPYNUT SOBRE 92G
20123370-1	GUSELKUMAB
29317-8	TINIDAZOL
20092419-7	DIOSMECTITA
20019134-1	INDACATEROL MALEATO 0.194 MG EQUIVALENTE A INDACATEROL BASE
20011017-15	CLORHIDRATO DE TAMSULOSINA
20110542	GUANTES DE LATEX TALLA S
RF203310	SONDA NELATON 40CM 10FR UN
20063043	GASA GASA ESTERIL NO TEJIDA 10X10 SOBREX2 PAQUETEX50 MEDICAL SUPPLIES
20131795	MICROPORE BLANCO 3M
19970374	FIXOMULL STRETCH
19993385-5	METFORMINACLORHIDRATO GRANULADOC.D. 95% 526.32 MG( EQUIVALENTEAMETFORMINACLORHIDRATO**
NCE20SE	JERINGA NUTRICAIR CON CONEXION ENFIT HEMBRA 20ML
763656	BOLSA NUTRICION BOMBA JOEY 1000ML
20060384-3	TAK -390 MR(COMPUESTO POR 58 MG DEGRANULOS LS + 210 MG DE GRANULOS -H)EQUIVALENTES A DEXLANSOPRAZOL
230341-1	ACETATO DE PREDNISOLONA
20051453-1	CIPROFLOXACINA CLORHIDRATO EQUIVALENTE A CIPROFLOXACINA BASE
19955429-5	ENALAPRIL MALEATO
20246547	GLUCOMETRO + TIRAS GLUCOMETRIA LANCETA
20128081-2	DUTASTERIDE
20090556-1	INSULINADEGLUDEC
19991627	 JERINGA PUNTA CATETER 60ML
139-CXL	PAÑAL DESECHABLE CONTENT TALLA XL
20094213-1	BISOPROLOL FUMARATO
20233511-1	METILFENIDATO CLORHIDRATO
19998124-5	BETAHISTINA DICLORHIDRATO
19965075-2	MELOXICAM
19988017-1	METFORMINA CLORHIDRATO GRANULOS DC 95% EQUIVALENTE AMETFORMINA CLORHIDRATO (*)
20015007-11	 ALACIR DULOXETINA 30MG TABLETA
20286617	 PAÑAL ADULTO TALLLA L (UNIDAD)
20103613-8	CARBONATO DE CALCIO
20094809-1	PALIVIZUMAB
19965102-2	DOXICICLINA HICLATO EQUIVALENTE A DOXICICLINA BASE
20171148-1	SEMAGLUTIDA
19971982-2	ACICLOVIR
20202847-2	VITAMINA D3 (COLECALCIFEROL) 5600 UI
20012979-4	GLUCOSAMINA SULFATO
39002-1	LIDOCAINA CLORHIDRATO MONOHIDRATO 2.10345 G EQUIVALENTE A LIDOCAINA CLORHIDRATO
226986-2	DIOSMECTITA
19940375-6	DICLOFENACO SODICO
20070341-2	SULFATO DE ZINC MONOHIDRATO 54.8 MG EQUIVALENTE A ZINC ELEMENTAL
20077138-15	DROSPIRENONA
150401	FRESUBIN 500 ML NUTRI
20052504-21	CILOSTAZOL
20044944-8	LINAGLIPTINA
20033134-2	MICOFENOLATO DE MOFETILO
225393-2	HIDROXIDO DE MAGNESIO
20005999-17	ERITROPOYETINA RH HUMANA RECOMBINANTE
19977789-3	AMLODIPINO BESILATO 6.94 MGEQUIVALENTE A AMLODIPINO BASE
20070206-1	CICLOSPORINA
31190-3	NAPROXENO
19914681-1	CELECOXIB
20048021-5	VALSARTAN
19942965-3	NORFLOXACINA
19989418-1	HIDROMORFONA CLORHIDRATO 2.5 MG TABLETAS
19950400-4	PROPIONATO DE CLOBETASOL
34476-1	NICOTINAMIDA(NIACINAMIDA)
19975970-5	VALSARTAN
20043344-19	20.84 MG DE ROSUVASTATINA CALCICA. EQUIVALENTE A ROSUVASTATINA BASE
20046741-6	ACETAMINOFEN
29317-1	TINIDAZOL TABLETAS 500 MG
57706-2	NITRATO DE ISOCONAZOL
19968545-4	ALBENDAZOL
19927154-5	METOTREXATO 2.5 MG
20109338-1	CARBOXIMETILCELULOSA SODICA
19925209-3	ATORVASTATINA CALCICA TRIHIDRATO 10.825 MG EQUIVALENTE AATORVASTATINA BASE
20112029-1	 DUXETERO DULOXETINA 60MG CAPSULAS
72006-01	FREESTYLE LIBRE 2 PLUS
19955212-21	N- BUTIL BROMURO DE HIOSCINA
20114541-7	ARTRO - M CAPSULAS DIACEREINA 50MG
19902533-2	XINAFOATO DE SALMETEROL MICRONIZADO EQUIVALENTE A SALMETEROL
19908846-4	LORATADINA
19995299-7	CLONIDINA CLORHIDRATO
20016921-2	QUETIAPINA HEMIFUMARATO 28. 80MGEQUIVALENTE A QUETIAPINA BASE
19953438-6	PREDNISOLONA 5 MG TABLETAS
19955240-7	KETOTIFENO FUMARATO 1.375 MG- EQUIVALENTES A KETOTIFENO BASE
20088762-1	OXALATO DE ESCITALOPRAM 25.55MG EQUIVALENTE A ESCITALOPRAM
51881-1	VIGABATRINA
L20079588	GUANTES DE LATEX TALLA L
19963295-7	METILSULFONILMETANO
20039942-1	VITAMINA D3 SECA TIPO 100SD/S8.00 MG EQUIVALENTE A
19947581-1	CLORHIDRATO DE OXIMETAZOLINA
20192669-2	MACITENTAN
20018967-1	OXIMETAZOLINACLORHIDRATO.
20007895-10	LEVETIRACETAM
42722-25	LEVOTIROXINA SODICA
20023910-3	MICOFENOLATO DE MOFETILO
20168919-2	BICARBONATO DE SODIO
19980015-9	LEVOTIROXINA SODICA
20135524-1	GLICERINA
20199440	VITAMIX 15 POLVO SOBRE X 1 GR
TCSI2	PRODUCTO TCSI1
20082896-5	HIDROCODONA BITARTRATO
19943837-5	FOSFOMICINA TROMETAMOL 5.631 G EQUIVALENTE A FOSFOMICINA
19995931-1	HIDROCORTISONA
20093311-1	QUETIAPINA FUMARATO EQUIVALENTE A QUETIAPINA
20256194	 PAÑAL NIÑO ETAPA 6 (UNIDAD)
20177170	 CATETERES NELATON 
20017162-1	FORMOTEROL FUMARATO DIHIDRATO MICRONIZADO
19965790-1	NITAZOXANIDA
19969143-1	PROPAFENONA CLORHIDRATO
20056044-6	TELMISARTAN
19992452-8	LEVOTIROXINA SODICA
20125116-1	SEMAGLUTIDA
20238981	LANCETA GLUCOMETRIA 
20057097-2	LUBIPROSTONA
19980849-1	LIDOCAINA CLORHIDRATO
20043390-2	IRBESARTAN
20155419	PRESERVATIVOS LATEX 
41072-9	OMEPRAZOL PELLETS 8.5%EQUIVALENTE A OMEPRAZOL BASE
19978720-4	BUDESONIDE + FORMOTEROL (160+4.5) MCG INHALADOR-BUSTEROL ®
20059849-3	OLOPATADINA CLORHIDRATO 2.216MG( EQUIVALENTE A OLOPATADINA BASE)
19988571-6	LEVONORGESTREL
19914262-4	INSULINA GLARGINA (HOE 901) 36.378 MGEQUIVALENTE A 1000 U.I. DE INSULINA.
20009282-1	BIMATOPROST
20203477-1	DORZOLAMIDA CLORHIDRATO EQUIVALENTE A DORZOLAMIDA BASE
20222722	 PAÑAL ADULTO TALLA L TIPO PANTS (UNIDAD)
20149185-1	BRIVARACETAM
150320	PROWHEY KALORI ALIMENTO EN POLVO LATA 460G
19902231-3	ETINILESTRADIOL
225390-11	TOPIRAMATO
20066793-4	POLIETILENGLICOL 3350
20135411-8	RIFAXIMINA
20145875-1	ETORICOXIB
20026114-3	SULFASALAZINA
20004254-8	N-ACETILCISTEINA
19985874-4	RIVASTIGMINA BASE (MATRIZ FARMACO)
209835-6	ACICLOVIR
19998394-4	VILDAGLIPTINA
217278-2	DESONIDA
48015-3	HIDROXICINA CLORHIDRATO
19955370-14	ACIDO VALPROICO
20122985-3	BACLOFENO
19956205-3	RISPERIDONA
20057955-6	MONTELUKAST SÓDICO 5.2 MG EQUIVALENTE A MONTELUKAST
20011479-6	SULFATO DE ZINC MONOHIDRATADO EQUIVALENTE ADE ZINC
20142846-1	LEVOCETIRICINA DICLORHIDRATO
205264-1	CARBONATO DE SODIO ANHIDRO
170181	NUTRAMIGEN 357G PREMIUM CON LGG POLVO LATA
19976470-1	METOPROLOL TARTRATO
19973504-1	SIMETICONA
227365-7	CARBAMAZEPINA
20078798-1	ESPORAS DE BACILLUS CLAUSII 4000 MILLONES (4 MILLARDOS)/ 5ML
19937378	GUANTES DE LATEX DE EXAMINACIÓN , ESTERILES Y NO ESTERILES ALFASAFE
20142847-2	MONTELUKAST SODIO EQUIVALENTE A MONTELUKAST
19977484-2	TIZANIDINA CLORHIDRATO EQUIVALENTE A TIZANIDINA BASE SECA
20097693-5	FENITOINA SODICA
000031190-3	NAPROXENO TABLETAS 500 MG
20163970	ALIMENTO PARA PROPÓSITOS MÉDICOS ESPECIALES
19979472-6	OLANZAPINA
20107765	ALIMENTO PARA PROPÓSITOS MÉDICOS ESPECIALES, EN POLVO 
20071759-12	CAFEINA
20065755-3	NUCLEO DE LA MINITABLETA: FENOFIBRATO DE COLINA(178.8MG) EQUIVALENTE A ACIDO FENOFIBRICO.
20149316-1	LEVODOPA
20085215-1	SALMETEROL XINOFOATO 36.32MCG EQUIVALENTE A SALMETEROL BASE 25MCG
20116782-1	N-BUTIL BROMURO DE HIOSCINA
20147981-1	AMOXICILINA TRIHIDRATO POLVO AL 86% EQUIVALENTE AAMOXICILINA
19948281-10	NAPROXENO
20136868-1	CEFALEXINA 5000,0000 MG POLVOS PARA RECONSTITUIR ORAL (SINPOX)
20129727-7	RIVAROXABAN
19904368-9	VITAMINA A PALMITATO 1.700.000 UI( EQUIVALENTE A 50.000 UI VITAMINA A)
20056041-17	TELMISARTAN
20120957-5	INDAPAMIDA
19999057-1	PIRIDOSTIGMINA BROMURO
20126544-3	CLORTALIDONA
20140779-1	TAMSULOSINA CLORHIDRATO
20068914-3	BETAHISTINA DICLORHIDRATO
20047262-5	VALSARTAN
19954188-3	CROMOGLICATO DE SODIO
20129724-1	RIVAROXABAN
19999923-3	MESALAZINA
20147960-1	ENTACAPONE
19963970-1	SULFATO FERROSO HEPTAHIDRATADO 803.50 MG EQUIVALENTE AHIERRO ELEMENTAL
20098922-12	TADALAFILO
150302	ENSURE PLUS HN LPC 1.5KCAL/ML 1000ML
19968665-1	ETINILESTRADIOL (COMO CLATRATO BETADEX DE ETINILESTRADIOL)
139-PTPL	 PAÑAL
201145-1	SULFASALAZINA
139-PTM	 PAÑAL
19942584-6	ACETATO DE ALUMINIO HIDRÓXIDO. EQUIVALENTE A ACETATO DE ALUMINIO
47085-1	TIZANIDINA CLORHIDRATO 2.287 MG EQUIVALENTE ATIZANIDINA BASE
20174987-1	METRONIDAZOL BENZOATO EQUIVALENTE A METRONIDAZOL BASE
19997621-4	DEXAMETASONA 4MG/1ML SOLUCION INYECTABLE 1ML
20134807-1	COLECALCIFEROL (VITAMINA D3)
20160725-2	RISPERIDONA
20176701-2	VITAMINA D3 (1000000 UI/G)EQUIVALENTE A VITAMINA D3
19940656-11	CARBONATO DE CALCIO 90% EQUIVALENTE A CALCIO ELEMENTAL
20141006-2	EZETIMIBA
20118370-1	SIMETICONA
20141267-4	OXIDO DE ZINC
20091048-2	PILOCARPINA CLORHIDRATO
19973372-3	CLOROQUINA FOSFATO EQUIVALENTE A CLOROQUINA BASE 150 MG
20067030	 PAÑAL NIÑO ETAPA 5 (UNIDAD)
20235214	 PROWHEY BARIATRIC POLVO SOBRE 51G
20007756-1	CLARITROMICINA EN GRANULOS DE POTENCIA DE 40.4%: 12.4G EQUIVALENTE A CLARITROMICINA BASE
19949566-1	LATANOPROST
19932996-1	AEROVIAL® CÁPSULA DURA PARA ADMINISTRAR POR INHALADOR
170176	FREBINI ENERGY FIEBRE DRINK  1.5KCAL/ML FRASCO 200ML
19980067-2	TELMISARTAN
20031073-1	VIRGAN® GEL OFTALMICO GANCICLOVIR 0,15G
200541-17	METOPROLOL SUCCINATO EQUIVALENTE A METOPROLOL TARTRATO
20008220-1	BUDESONIDA
19908056-1	OXIBUTININA CLORHIDRATO
19972058-1	SOMATROPINA RECOMBINANTE PARA RECONSTITUIR A 1 ML EQUIVALENTE A 36 UI
20091658-5	TADALAFILO
20066117-13	ESOMEPRAZOL MAGNESICO TRIHIDRATO . EQUIVALENTE A ESOMEPRAZOL
19965499-1	LOSARTAN POTÁSICO
20142729-2	ROSUVASTATINA CALCICAAMORPHA 10.400 MG EQUIVALENTE A ROSUVASTATINA
20162350-8	BRIVARACETAM
20066120-3	ACICLOVIR
32623-9	ACIDO FOLICO
20009747-1	LEVOTIROXINA SODICA
212764-9	HIDROCLOROTIAZIDA
20039245-2	SOLUCIÓN 1:TIAMINA CLORHIDRATO
L20298014	PROWHEY DM
35662-8	ACIDO FOLICO
108	BLOQUEADORES SOLARES
20066116-14	44.5 MG DE ESOMEPRAZOL MAGNESICO TRIHIDRATO. EQUIVALENTE A ESOMEPRAZOL BASE
43442-2	SIMETICONA EMULSIÓN 30%(POLIDIMETILSILOXANOACTIVADO) EQUIVALENTE A SIMETICONA
19970681-1	CLINDAMICINA CLORHIDRATO EQUIVALENTE A CLINDAMICINA BASE 300 MG
51715-1	ACICLOVIR MICRONIZADO
170198	INFATRINI BOTELLA X 125ML
20164772-1	XINAFOATO SALMETEROL EQUIVALENTE A SALMETEROL
20001046-3	HIDROCORTISONA ACETATO
19930999-1	5-FLUOROURACILO
20111478	 ENSURE PLUS HN ALIMENTO LIQUIDO BOTELLA 220ML
20088083-BOLSAS57	BOLSAS 57MM NATURATM STOMAHESIVETM CONVATEC
REF20194751	CONVACTEC BARRERA SURFIT 45MM
20132095	PASTA STOMAHESIVE OSTOMI 56,7GR CONVATEC 
20088083-BARRERAF57MM	BARRERA FLEX 57MM NATURATM STOMAHESIVETM CONVATEC
20083780-1	QUETIAPINA FUMARATO. EQUIVALENTE A QUETIAPINA BASE
19929503-5	DEXAMETASONA
20108712-1	LINAGLIPTINA
19931043-1	HIDROCLOROTIAZIDA. MICRONIZADA
19974149-2	HALOPERIDOL
19942450-15	 SERTRALINA 25MG TABLETAS
19984840-7	ONDANSETRON HIDROCLORURO DIHYDRATO 10MG EQUIVALENTE A ONDANSETRON
20011990-2	DICLOFENACO SÓDICO
20106194-2	HETVOLOL 5 MG TABLETAS.
20118033-2	SILDENAFILO CITRATO 35.119 MG EQUIVALENTE A SILDENAFILO
20100603-3	VALSARTAN
25796-2	PAMOATO DE PIRANTELEQUIVALENTE A PIRANTEL BASE
20001340-1	MELATONINA
20089821-1	MONTELUKAST SODICO EQUIV A MONTELUKAST
20218995-1	EPINASTINA CLORHIDRATO(EQUIVALENTE A 0.44 MG DE EPINASTINA).
51612-1	CICLOSPORINA
213766-2	TOPIRAMATO
20048020-5	AMLODIPINO BESILATO 13.880 MG EQUIVALENTE A AMLODIPINO BASE
19963351-1	ACETATO DE ALUMINIO 0.059% PH 4.5 LOCION LOCION TOPICA (EXTERNA)
114	CREMA LUBRIDERM HIDRATANTE TARRO 400ML
413167	NATURA SUR-FIT
401545	NATURA SUR-FIT
139-TUL	PAÑAL DESECHABLE TENA SLIP ULTRA TALLA L
20162428-13	ETORICOXIB
20168881-1	BILASTINA
20060798-1	FUROATO DE MOMETASONA ANHIDRA MICRONIZADA
20168747-1	LACOSAMIDA
20047165-5	AMLODIPINO BESILATO 6.940 MG EQUIVALENTE A AMLODIPINO BASE
19919130-1	CIPROFLOXACINA BASE
1980588-1	GUAYACOLATO DE GLICERILO
20044691-4	PREGABALINA
20123643-17	LOSARTAN POTASICO
47792-1	ACIDO VALPROICO
19933626-2	ACIDO POLIACRÍLICO
19987943-8	EUTIROX® 137 MCG  LEVOTIROXINA SODICA
19976921-1	TERBINAFINA TABLETAS 250 MG
19928652-1	DIPIRONA
20149185-2	BRIVARACETAM
19987145-9	OLOPATADINA CLORHIDRATO 2.2200 MG ( EQUIVALENTE A OLOPATADINABASE)
TCSI3	PRODUCTO DE PRUEBA
20096371-25	BISOPROLOL FUMARATO
19997076-3	NISTATINA
20004631-1	SUCRALFATO
20013130-1	BECLOMETASONA DIPROPIONATO
19960160-12	ERITROPOYETINA RECOMBINANTE HUMANA
20204736-1	ACIDO ZOLEDRÓNICO MONOHIDRATO EQUIVALENTE A ACIDO ZOLEDRONICO
139-TUM	PAÑAL DESECHABLE TENA SLIP ULTRA TALLA M
20103833-6	NISTATINA
19941776-6	VALSARTÁN
20136180-3	METILPREDNISOLONA
20173530-6	SELEXIPAG
20173530-1	SELEXIPAG
19980603-1	FUNGISTEROL SHAMPOO KETOCONAZOL 2G
20001974-6	SUCCINATO DE DESVENLAFAXINA 75.87 EQUIVALENTE A DESVENLAFAXINA
19950452-90	CLENOX ENOXAPARINA SODICA 60ML/0,6ML
19913029-1	COMPLEJO DE HEMAGLUTININA DE TOXINA TIPO A DE CLOSTRIDIUM BOTULINUM
20014965-3	CERTOLIZUMABPEGOL
20076858	NUTRIBEN HIDROLIZADA 2
20020975-3	BETAMETASONA SODIO FOSFATO EQUIVALENTE A BETAMETASONA BASE
20178642-3	BETAMETASONA FOSFATO SÓDICO EQUIVALENTE A BETAMETASONA BASE
NCE50SE	JERINGA NUTRICAIR ENTERAL CON CONEXION ENFIT HEMBRA 50M/60MLL
416420	NATURA
L20108223	PROWHEY EPOC
36240-3	ENOXAPARINA SODICA
19908545-13	OXCARBAZEPINA
19956040-1	BENZOATO DE BENCILO
20104628-5	ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA BASE
19956673-10	CARBOXIMETILCELULOSA SODICA
20018905-1	CIPIONATO DE ESTRADIOL
19953234-1	AMOXICILINA 250 MG /5ML POLVO PARA SUSPENSION 
20060384-6	TAK -390 MR(COMPUESTO POR 58 MG DEGRANULOS LS + 210 MG DE GRANULOS -H)EQUIVALENTES A DEXLANSOPRAZOL
139-TUXL	PAÑAL DESECHABLE TENA SLIP ULTRA TALLA XL
20093919-2	BETAMETASONA DIPROPIONATO EQUIVALENTE ABETAMETASONABASE
20268798	TOALLITAS HÚMEDAS WINNY ALOE VERA Y VITAMINA E
20059276-1	DEXAMETASONA SODIO FOSFATO EQUIVALENTE A DEXAMETASONA BASE
20007289-2	RISPERIDONA
1982997-1	KETOPROFENO LIBRE DE PIROGENOS 100%
19963423-7	IBUPROFENO
20212621-3	RIFAXIMINA
19984823-1	KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO BASE
20157620-6	LEVOCETIRIZINA DICLORHIDRATO
19992554-1	CLORHIDRATO DEDORZOLAMIDA EQUIVALENTE A DORZOLAMIDA
20044943-8	METFORMINA CLORHIDRATO
33661-1	CLORURO DE SODIO USP
19933626-3	ACIDO POLIACRÍLICO
19929866-8	GABAPENTIN
19941968-4	 ALBENDAZOL SUSPENSION ORAL 20ML
19942216-3	CLORFENIRAMINA MALEATO
20089824-1	MONTELUKAST SODICO EQUIV A MONTELUKAST
